AQS Code  Sort by AQS Code descending,CAMS,TCEQ Region,Reg#,Site Name,Street Address,City,ZIP,Latitude,Longitude,Elevation,UTM Zone,UTM Letter,Easting Meters,Northing Meters,Params,Activation Date,Deactivation Date,Owned By
481410044,"0041, 0126, 3001 ",EL PASO,6,El Paso Chamizal,800 S San Marcial Street,El Paso,,31.7656854,-106.4552272,1122.0m,13,S,405543,3540873,133,1-Apr-88,Active,TCEQ
481410047,123,EL PASO,6,Womble,Cleveland Ave at Clark Dr,El Paso,,31.7759422,-106.4131769,1140.0m,13,S,405543,3540873,90,13-Apr-93,Active,TCEQ
481410054,36,EL PASO,6,El Paso Lower Valley,8470 Plant Rd,El Paso,,31.7038461,-106.356022,1116.0m,13,S,405543,3540873,7,7-Jun-96,Active,TCEQ
481410055,"0037, 0159, 0172 ",EL PASO,6,Ascarate Park SE,650 R E Thomason Loop,El Paso,,31.7467753,-106.4028059,1122.0m,13,S,405543,3540873,38,1-Sep-99,Active,TCEQ
481410057,49,EL PASO,6,Socorro Hueco,320 Old Hueco Tanks Road,El Paso,,31.6675,-106.288,,13,S,405543,3540873,111,18-Nov-99,Active,TCEQ
481410058,72,EL PASO,6,Skyline Park,5050A Yvette Drive,El Paso,,31.8939133,-106.425827,1201.0m,13,S,405543,3540873,12,11-Jul-00,Active,TCEQ
481410693,693,EL PASO,6,Van Buren,2700 Harrison Avenue,El Paso,,31.81337,-106.46452,1256.7m,13,S,405543,3540873,9,5-Jul-10,Active,EPA/OAQPS/MQAG
481411021,1021,EL PASO,6,Ojo De Agua,6767 Ojo De Agua,El Paso,79912,31.86247,-106.5473,1253.0m,13,S,311072,3542183,10,15-Apr-13,Active,TCEQ
481490001,601,AUSTIN,11,Fayette County,636 Roznov Rd,Round Top,78954,29.9624745,-96.7458748,85.0m,14,R,692915,3320469,12,18-May-00,Active,Capitol Area Council of Governments
481570696,696,HOUSTON,12,UH Sugarland,14000 University Blvd,Sugar Land,,29.5741,-95.6497,23.0m,15,R,210590,3322576,6,26-Feb-09,Active,University of Houston
481670004,,HOUSTON,12,Texas City Fire Station,2516 Texas Avenue,Texas City,,29.384444,-94.930833,5.0m,15,R,305179,3209635,2,1-Jan-72,Active,Galveston City-County Health Department
481670005,"0147, 1022 ",HOUSTON,12,Texas City Ball Park,2516 1/2 Texas Avenue,Texas City,,29.3852338,-94.9315197,0m,15,R,305179,3209635,92,20-Oct-97,Active,TCEQ
481670056,620,HOUSTON,12,Texas City 34th Street,2212 North 34th Street,Texas City,,29.4057,-94.94712,0m,15,R,305179,3209635,11,1-Jun-03,Active,Texas City Industry Group
481670571,571,HOUSTON,12,Clear Creek High School,2305 E Main St,League City,,29.525556,-95.070556,14.0m,15,R,307085,3320469,1,12-Sep-03,Active,University of Houston
481670615,"0615, 1615 ",HOUSTON,12,Texas City BP 31st Street (Site 1),Texas City Bp Property,Texas City,,29.38145,-94.94108,8.0m,15,R,305179,3209635,16,31-Dec-09,Active,British Petroleum
